ODPair_CO_TAZID,CO_TAZID_O,CO_TAZID_D,External
-808957_3089,-808957,3089,23
-808957_50151,-808957,50151,23
-808960_3091,-808960,3091,24
-808960_350742,-808960,350742,24
-808961_351420,-808961,351420,24
-808962_19004,-808962,19004,11
-808963_47044,-808963,47044,13
-808963_47094,-808963,47094,13
-808963_47094,-808963,47094,13
-808963_47121,-808963,47121,13
-808964_351731,-808964,351731,18
-808965_110446,-808965,110446,18
-808965_110446,-808965,110446,18
-808965_33015,-808965,33015,19
-808965_33015,-808965,33015,19
-808965_33034,-808965,33034,19
-808965_33034,-808965,33034,19
-808965_350931,-808965,350931,18
-808965_351413,-808965,351413,18
-808965_351413,-808965,351413,18
-808965_351540,-808965,351540,18
-808965_43180,-808965,43180,18
-808965_43180,-808965,43180,18
-808967_110557,-808967,110557,27
-808967_350753,-808967,350753,27
-808967_350890,-808967,350890,27
-808967_350890,-808967,350890,27
-808967_350925,-808967,350925,27
-808967_351023,-808967,351023,27
-808967_351023,-808967,351023,27
-808967_351457,-808967,351457,27
-808967_45080,-808967,45080,27
-808967_492504,-808967,492504,27
-808967_530312,-808967,530312,27
-808967_570346,-808967,570346,27
-808968_25027,-808968,25027,5
-808968_25027,-808968,25027,5
-808968_25034,-808968,25034,5
-808968_25043,-808968,25043,5
-808968_25043,-808968,25043,5
-808968_43162,-808968,43162,3
-808968_530074,-808968,530074,3
-808968_530148,-808968,530148,3
-808968_530253,-808968,530253,3
-808968_530304,-808968,530304,3
-808968_530316,-808968,530316,3
-808968_530606,-808968,530606,3
-808968_530673,-808968,530673,3
-808968_530673,-808968,530673,3
-808968_530813,-808968,530813,3
-808974_350742,-808974,350742,18
-808974_350742,-808974,350742,18
-808974_43141,-808974,43141,18
-808975_19010,-808975,19010,10
-808976_3014,-808976,3014,23
